code,Year,"Population ages 15-19, female","Population ages 15-19, male","Population ages 20-24, female","Population ages 20-24, male",Total Youth,"Share of youth not in education, employment or training, total (% of youth population)","Total of youth not in education, employment or training"
BRN,2017,16815,18112,16545,17857,69329,19.96999931,13846
MMR,2017,2251712,2350164,2197402,2305666,9104944,16.59000015,1510511
KHM,2017,701666,706196,659080,689642,2756584,6.460000038,178076
TLS,2017,71122,75007,67084,60935,274148,31.17000008,91852
IDN,2017,10722773,11306337,10675063,11043839,43748012,21.45000076,9383949
LAO,2017,359883,372564,352878,349712,1435037,25.79999924,370240
MYS,2017,1349203,1433556,1378715,1497811,5659285,11.80000019,667796
PHL,2017,5072893,5368559,5017104,4987005,20445561,21.70000076,4436687
SGP,2017,151041,177869,158604,228010,715524,4.5,32199
THA,2017,2210687,2348610,2299678,2589017,9447992,15.59000015,1472942
VNM,2017,3346138,3512191,3355424,3923298,14137051,11.11999989,1572041
BRN,2018,16852,18002,16669,17772,69295,20.71999931,14358
MMR,2018,2258212,2358455,2217477,2295470,9129614,12.78999996,1167678
KHM,2018,707983,714473,690218,661693,2774367,6.460000038,178076
TLS,2018,72587,76880,61190,63210,273867,31.17000008,91852
IDN,2018,10696599,11281052,10587048,11137955,43702654,21.73999977,9500957
LAO,2018,359018,371647,344606,353013,1428284,25.79999924,370240
MYS,2018,1341861,1427244,1411207,1485707,5666019,12.47000027,706553
PHL,2018,5106638,5417915,4874611,5049750,20448914,19.88999939,4067289
SGP,2018,141606,161751,183833,227108,714298,4.300000191,30715
THA,2018,2137885,2271091,2486408,2589003,9484387,14.77999973,1401793
VNM,2018,3351137,3528079,3675544,3776712,14331472,10.09000015,1446046
BRN,2019,16777,17815,16575,17742,68909,18.68000031,12873
MMR,2019,2260617,2362041,2204992,2284447,9112097,16.97880949,1547126
KHM,2019,708255,715641,671736,642306,2737938,6.460000038,178076
TLS,2019,73846,78577,63001,65585,281009,31.17000008,91852
IDN,2019,10700127,11285209,10644508,11195088,43824932,22.45000076,9838698
LAO,2019,357142,369361,347500,357345,1431348,25.79999924,370240
MYS,2019,1331024,1414952,1398053,1472475,5616504,17.01110739,955430
PHL,2019,5140782,5463479,4922457,5119620,20646338,17.46999931,3606916
SGP,2019,133526,147458,181428,224384,686796,6.199999809,42582
THA,2019,2084713,2210945,2448824,2563565,9308047,14.75,1372937
VNM,2019,3370097,3560243,3528095,3638419,14096854,14.93000031,2104661
BRN,2020,16574,17546,16557,17786,68463,21.43000031,14672
MMR,2020,2258470,2360501,2196937,2278275,9094183,15.02000046,1365947
KHM,2020,713041,723077,659791,631524,2727433,6.460000038,178076
TLS,2020,74924,80111,64969,68024,288028,31.17000008,91852
IDN,2020,10740346,11326932,10670575,11221796,43959649,21.79999924,9583204
LAO,2020,355399,367466,350578,361538,1434981,25.79999924,370240
MYS,2020,1320856,1401068,1386927,1461917,5570768,13.63000011,759296
PHL,2020,5169706,5501379,4976624,5204858,20852567,21.04999924,4389466
SGP,2020,125446,134471,174150,214480,648547,4.460000038,28926
THA,2020,2046609,2165405,2384263,2508881,9105158,15.13000011,1377611
VNM,2020,3386916,3592890,3418117,3537280,13935203,14.18000031,1976012
BRN,2021,16361,17260,16545,17850,68016,18.68000031,12706
MMR,2021,2249244,2351085,2197402,2280229,9077960,16.97880949,1541330
KHM,2021,722553,738241,659080,635501,2755375,6.460000038,178076
TLS,2021,75756,81298,67084,70541,294679,31.17000008,91852
IDN,2021,10815587,11404334,10675063,11227225,44122209,22.45000076,9905437
LAO,2021,355126,367590,352878,364464,1440058,25.79999924,370240
MYS,2021,1311531,1387007,1378715,1456031,5533284,17.01110739,941273
PHL,2021,5209594,5551557,5017104,5276578,21054833,17.46999931,3678280
SGP,2021,115483,121409,158604,193205,588701,6.199999809,36500
THA,2021,2016183,2129838,2299678,2429368,8875067,14.75,1309073
VNM,2021,3386514,3610960,3355424,3483844,13836742,14.93000031,2065826
